aam a dutch and german measure of liquids varying in different cities being at amsterdam about  wine gallons at antwerp   at hamburg
anastate	one of a series of substances formed in secreting cells by constructive or anabolic processes in the production of protoplasm  opposed to katastate
anastomosis	the inosculation of vessels or intercommunication between two or more vessels or nerves as the cross communication between arteries or veins
anatifa	an animal of the barnacle tribe of the genus lepas having a fleshy stem or peduncle a goose barnacle see cirripedia
anchorage	the act of anchoring or the condition of lying at anchor
ankylosis	stiffness or fixation of a joint formation of a stiff joint
ancone	the corner or quoin of a wall crossbeam or rafter
andalusite	a silicate of aluminium occurring usually in thick rhombic prisms nearly square of a grayish or pale reddish tint it was first discovered in andalusia spain
andesine	a kind of triclinic feldspar found in the andes
andranatomy	the dissection of a human body especially of a male androtomy
androgynism	union of both sexes in one individual hermaphroditism
andron	the apartment appropriated for the males this was in the lower part of the house
androsphinx	a man sphinx a sphinx having the head of a man and the body of a lion
androtomy	dissection of the human body as distinguished from zootomy anthropotomy
anemograph	an instrument for measuring and recording the direction and force of the wind
anemometry	the act or process of ascertaining the force or velocity of the wind
anemonin	an acrid poisonous crystallizable substance obtained from some species of anemone
angelicalness	the quality of being angelic excellence more than human
angelophany	the actual appearance of an angel to man
anger	trouble vexation also physical pain or smart of a sore etc
angioma	a tumor composed chiefly of dilated blood vessels
angiotomy	dissection of the blood vessels and lymphatics of the body
anglemeter	an instrument to measure angles esp one used by geologists to measure the dip of strata
anglicism	an english idiom a phrase or form language peculiar to the english
angling	the act of one who angles the art of fishing with rod and line
anglophobia	intense dread of or aversion to england or the english
anglosaxonism	a characteristic of the anglosaxon race especially a word or an idiom of the anglosaxon tongue
angora	a city of asia minor or anatolia which has given its name to a goat a cat etc
angularity	the quality or state of being angular angularness
angulometer	an instrument for measuring external angles
anhelation	short and rapid breathing a panting asthma
anhinga	an aquatic bird of the southern united states platus anhinga the darter or snakebird
anhydrite	a mineral of a white or a slightly bluish color usually massive it is anhydrous sulphate of lime and differs from gypsum in not containing water whence the name
annicut	a dam or mole made in the course of a stream for the purpose of regulating the flow of a system of irrigation
animadversion	the act or power of perceiving or taking notice direct or simple perception
animadverter	one who animadverts a censurer also obs a chastiser
animalculist	one versed in the knowledge of animalcules
animator	one who or that which animates an animater
animist	one who maintains the doctrine of animism
aniseed	the seed of the anise also a cordial prepared from it
anker	a liquid measure in various countries of europe the dutch anker formerly also used in england contained about  of the old wine gallons or  imperial gallons
annat	a half yearss stipend over and above what is owing for the incumbency due to a ministers heirs after his decease
annealing	the process used to render glass iron etc less brittle performed by allowing them to cool very gradually from a high heat
annexment	the act of annexing or the thing annexed appendage
annihilator	one who or that which annihilates as a fire annihilator
annotate	to explain or criticize by notes as to annotate the works of bacon
annoyance	the act of annoying or the state of being annoyed molestation vexation annoy
annueler	a priest employed in saying annuals or anniversary masses
annuity	a sum of money payable yearly to continue for a given number of years for life or forever an annual allowance
annulment	the act of annulling abolition invalidation
annunciator	one who announces specifically an officer in the church of constantinople whose business it was to inform the people of the festivals to be celebrated
anode	the positive pole of an electric battery or more strictly the electrode by which the current enters the electrolyte on its way to the other pole  opposed to cathode
anointment	the act of anointing or state of being anointed also an ointment
anomia	a genus of bivalve shells allied to the oyster so called from their unequal valves of which the lower is perforated for attachment
anona	a genus of tropical or subtropical plants of the natural order anonaceae including the soursop
anonymity	the quality or state of being anonymous anonymousness also that which anonymous
anorexy	want of appetite without a loathing of food
anorthoscope	an optical toy for producing amusing figures or pictures by means of two revolving disks on one of which distorted figures are painted
anta	a species of pier produced by thickening a wall at its termination treated architecturally as a pilaster with capital and base
antagonism	opposition of action counteraction or contrariety of things or principles
antanagoge	a figure which consists in answering the charge of an adversary by a counter charge
antbear	an edentate animal of tropical america the tamanoir living on ants it belongs to the genus myrmecophaga
anteater	one of several species of edentates and monotremes that feed upon ants see antbear pangolin aardvark and echidna
